family_id,abstract
41059586,"Systems and methodologies are described that facilitate defining new control channels in legacy wireless networks. Control data resources for new systems can be defined over resources reserved for general data communications in the legacy wireless network specification. In this regard, legacy devices can still be supported by devices implementing new control data resources, and the new control data resources can avoid substantial interference that is typically exhibited over legacy control and/or reference signal resources by instead using the general data resources. In addition, new system devices can avoid scheduling data communication resources over the new control resources to create a substantially non-interfered global control segment. Control data can be transmitted over the segment using beacon-based technologies, reuse schemes, and/or the like."
-1,"A new variety of hybrid lily plant bearing large upright to semi-upright flowers particularly characterized by their unspotted, pure white coloration with a soft pink reverse side. The flowers of this new plant are of excellent form and with their large size and substance, orientation and color, provide a combination that is completely new in the Oriental hybrid divisions of lilies suited to forcing and mass commercial cultivation. The plant is highly resistant to disease, shows tolerance of virus, and is an excellent garden plant. The bulbs of this plant may be precooled and forced for cut flower production, the resulting clone being vigorous, a good grower, and an excellent propagator."
-1,"The present invention relates to phenyl-substituted heterocyclyl derivatives of the formula (I), 
                                 
wherein Z, n, m, R 1 , R 2 , R 3 , R 4 , R 5 , R 6 , R 7  and R 8  are as described in the description and their use as prostaglandin receptor modulators, most particularly as prostaglandin D 2  receptor modulators, in the treatment of various prostaglandin-mediated diseases and disorders, to pharmaceutical compositions containing these compounds and to processes for their preparation."
33135106,"A method of cryopreserving sperm cells which may include cooling the quantity of sperm cells to a holding temperature, maintaining the sperm cells substantially at the holding temperature for a period, and supercooling the sperm cells by cooling the sperm cells at a first cooling rate to a temperature that approaches a critical temperature zone at which ice crystal formation and changes in osmotic pressure damage sperm cells and then cooling the sperm at a second cooling rate faster than said first cooling rate through said critical temperature zone."
41059586,"It describes a system and method for facilitating new control channels defined in the existing wireless network.  It can be defined general data communication resources reserved for the existing wireless network specification of control data resources for the new system.  In this way, the device performs new control data resources can still support the original equipment, and the use of common data resources through change, new control data resources and to avoid substantial interference in the original or control / reference signal resources are often exhibited.  Additionally, the new system the device can be avoided for scheduling data communication resources to a new control resource, to create a substantially interference free global control segment.  Beacon-based technology can be used, reuse scheme transmitting control data, on the fragment."
33135106,"A method and apparatus for sorting stained particles in a fluid stream, each of the method and apparatus including an epi-illumination optics system with a focusing lens. The optics system being operable to direct a beam of electromagnetic radiation through the focusing lens in a forward direction along a beam axis intersecting particles in the fluid stream at said first location so that said particles pass through the beam, resulting in the fluorescence emissions from the particles being directed along said beam axis in a rearward direction."
41059586,"Systems and methodologies are described that facilitate defining new control channels in legacy wireless networks. Control data resources for new systems can be defined over resources reserved for general data communications in the legacy wireless network specification. In this regard, legacy devices can still be supported by devices implementing new control data resources, and the new control data resources can avoid substantial interference that is typically exhibited over legacy control and/or reference signal resources by instead using the general data resources. In addition, new system devices can avoid scheduling data communication resources over the new control resources to create a substantially non-interfered global control segment. Control data can be transmitted over the segment using beacon-based technologies, reuse schemes, and/or the like."
22795013,Disclosed are glycopeptides that are substituted with one or more substituents each comprising one or more phosphono groups; and pharmaceutical compositions containing such glycopeptide derivatives. The disclosed glycopeptide derivatives are useful as antibacterial agents.
41059586,"PROBLEM TO BE SOLVED: To provide a method of defining a new control channel in a legacy wireless network.SOLUTION: A legacy device is supported by devices implementing a new control data resource, and the new control data resource avoids interference over legacy control resources and/or reference signal resources by using a general data resource. In addition, a new system device avoids scheduling a data communication resource over the new control resource to create a substantially non-interfered global control segment."
49877054,"The instant invention provides a polyolefin composition suitable for injection molding applications, and method of making such injection molded articles. The polyolefin composition suitable for injection molding applications comprises: an ethylene/[alpha]-olefin interpolymer composition comprising: (a) from 25 to 50 percent by weight of a first ethylene/[alpha]-olefin copolymer fraction having a density in the range of from 0.924 to 0.937 g/cm3, a melt index (I2) in the range of from 0.03 to 0.3 g/10 min, (b) from 50 to 75 percent by weight of a second ethylene homopolymer fraction having a density in the range of from greater than 0.960 g/cm3, a melt index (I2) in the range of from 100 to 180 g/10 minutes, wherein said ethylene/[alpha]-olefin interpolymer composition has a density in the range of from 0.950 to 0.958 g/cm3, a melt index (I2); in the range of from 1.0 g/10 min to 3.5 g/10 min, a zero shear viscosity ratio (ZSVR) in the range of from 1.01 to 2.5, a molecular weight distribution (Mw/Mn) in the range of from 2.0 to 4.0, and tan delta at 0.1 radian/second and 190 DEG C in the range of from 9 to 50."
