FILING_YEAR,assignee_harmonized,APPLICATION_COUNT
1970,[],56002
1970,"[
  {
    ""country_code"": ""US"",
    ""name"": ""PROCTER & GAMBLE""
  }
]",2302
1970,"[
  {
    ""country_code"": ""CH"",
    ""name"": ""NOVARTIS AG""
  }
]",1629
1970,"[
  {
    ""country_code"": ""US"",
    ""name"": ""COVIDIEN LP""
  }
]",1304
1970,"[
  {
    ""country_code"": ""US"",
    ""name"": ""PFIZER""
  }
]",1279
1970,"[
  {
    ""country_code"": ""FR"",
    ""name"": ""OREAL""
  }
]",1212
1970,"[
  {
    ""country_code"": ""CH"",
    ""name"": ""HOFFMANN LA ROCHE""
  }
]",989
1970,"[
  {
    ""country_code"": ""US"",
    ""name"": ""UNIV CALIFORNIA""
  }
]",906
1970,"[
  {
    ""country_code"": ""US"",
    ""name"": ""LILLY CO ELI""
  }
]",851
1970,"[
  {
    ""country_code"": ""US"",
    ""name"": ""BECTON DICKINSON CO""
  }
]",847
