publication_number,MOST_FREQUENT_IPC4
CN-217143363-U,B24B
CN-217045991-U,B24B
JP-7120314-B2,B22F
CN-217097113-U,B24B
US-11407017-B2,B21D
CN-216991199-U,B24B
CN-216967796-U,B25J
CN-216759403-U,B24B
US-11370085-B2,B24C
CN-217257925-U,B29C
CN-217453316-U,B24B
CN-216759362-U,B24B
CN-113103308-B,B26D
US-11450326-B2,B25J
CN-216991148-U,B24B
US-11413710-B2,B23K
CN-216732075-U,B26D
CN-217394946-U,B25J
CN-111922205-B,B21D
CN-216939908-U,B24B
KR-102419971-B1,B29C
CN-217045782-U,B24B
CN-113201688-B,B21B
CN-216705812-U,B21J
CN-217476217-U,B24B
CN-216681590-U,B24B
CN-217167878-U,B24B
CN-217291789-U,B24B
CN-217122690-U,B24B
US-11426701-B2,B29C
CN-216731008-U,B24B
CN-216990258-U,B23K
CN-217252494-U,B21J
CN-217167874-U,B24B
JP-7097391-B2,B22F
CN-217454107-U,B26D
KR-102420988-B1,B28B
CN-216991209-U,B24B
US-11440275-B2,B29C
CN-216831067-U,B26D
CN-217044497-U,B22D
CN-216939892-U,B24B
